InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total,InvoiceLineId,TrackId,UnitPrice,Quantity
1,2,2009-01-01,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98,1,2,0.99,1
1,2,2009-01-01,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98,2,4,0.99,1
2,4,2009-01-02,Ullevålsveien 14,Oslo,,Norway,0171,3.96,3,6,0.99,1
2,4,2009-01-02,Ullevålsveien 14,Oslo,,Norway,0171,3.96,4,8,0.99,1
2,4,2009-01-02,Ullevålsveien 14,Oslo,,Norway,0171,3.96,5,10,0.99,1
2,4,2009-01-02,Ullevålsveien 14,Oslo,,Norway,0171,3.96,6,12,0.99,1
3,8,2009-01-03,Grétrystraat 63,Brussels,,Belgium,1000,5.94,7,16,0.99,1
3,8,2009-01-03,Grétrystraat 63,Brussels,,Belgium,1000,5.94,8,20,0.99,1
3,8,2009-01-03,Grétrystraat 63,Brussels,,Belgium,1000,5.94,9,24,0.99,1
3,8,2009-01-03,Grétrystraat 63,Brussels,,Belgium,1000,5.94,10,28,0.99,1
3,8,2009-01-03,Grétrystraat 63,Brussels,,Belgium,1000,5.94,11,32,0.99,1
3,8,2009-01-03,Grétrystraat 63,Brussels,,Belgium,1000,5.94,12,36,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,13,42,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,14,48,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,15,54,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,16,60,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,17,66,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,18,72,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,19,78,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,20,84,0.99,1
4,14,2009-01-06,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91,21,90,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,22,99,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,23,108,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,24,117,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,25,126,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,26,135,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,27,144,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,28,153,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,29,162,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,30,171,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,31,180,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,32,189,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,33,198,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,34,207,0.99,1
5,23,2009-01-11,69 Salem Street,Boston,MA,USA,2113,13.86,35,216,0.99,1
6,37,2009-01-19,Berger Straße 10,Frankfurt,,Germany,60316,0.99,36,230,0.99,1
7,38,2009-02-01,Barbarossastraße 19,Berlin,,Germany,10779,1.98,37,231,0.99,1
7,38,2009-02-01,Barbarossastraße 19,Berlin,,Germany,10779,1.98,38,232,0.99,1
8,40,2009-02-01,"8, Rue Hanovre",Paris,,France,75002,1.98,39,234,0.99,1
8,40,2009-02-01,"8, Rue Hanovre",Paris,,France,75002,1.98,40,236,0.99,1
9,42,2009-02-02,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96,41,238,0.99,1
9,42,2009-02-02,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96,42,240,0.99,1
9,42,2009-02-02,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96,43,242,0.99,1
9,42,2009-02-02,"9, Place Louis Barthou",Bordeaux,,France,33000,3.96,44,244,0.99,1
10,46,2009-02-03,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,45,248,0.99,1
10,46,2009-02-03,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,46,252,0.99,1
10,46,2009-02-03,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,47,256,0.99,1
10,46,2009-02-03,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,48,260,0.99,1
10,46,2009-02-03,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,49,264,0.99,1
10,46,2009-02-03,3 Chatham Street,Dublin,Dublin,Ireland,,5.94,50,268,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,51,274,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,52,280,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,53,286,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,54,292,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,55,298,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,56,304,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,57,310,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,58,316,0.99,1
11,52,2009-02-06,202 Hoxton Street,London,,United Kingdom,N1 5LH,8.91,59,322,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,60,331,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,61,340,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,62,349,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,63,358,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,64,367,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,65,376,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,66,385,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,67,394,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,68,403,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,69,412,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,70,421,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,71,430,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,72,439,0.99,1
12,2,2009-02-11,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,13.86,73,448,0.99,1
13,16,2009-02-19,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,0.99,74,462,0.99,1
14,17,2009-03-04,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98,75,463,0.99,1
14,17,2009-03-04,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98,76,464,0.99,1
15,19,2009-03-04,1 Infinite Loop,Cupertino,CA,USA,95014,1.98,77,466,0.99,1
15,19,2009-03-04,1 Infinite Loop,Cupertino,CA,USA,95014,1.98,78,468,0.99,1
16,21,2009-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,79,470,0.99,1
16,21,2009-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,80,472,0.99,1
16,21,2009-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,81,474,0.99,1
16,21,2009-03-05,801 W 4th Street,Reno,NV,USA,89503,3.96,82,476,0.99,1
17,25,2009-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,83,480,0.99,1
17,25,2009-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,84,484,0.99,1
17,25,2009-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,85,488,0.99,1
17,25,2009-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,86,492,0.99,1
17,25,2009-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,87,496,0.99,1
17,25,2009-03-06,319 N. Frances Street,Madison,WI,USA,53703,5.94,88,500,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,89,506,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,90,512,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,91,518,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,92,524,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,93,530,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,94,536,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,95,542,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,96,548,0.99,1
18,31,2009-03-09,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,8.91,97,554,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,98,563,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,99,572,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,100,581,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,101,590,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,102,599,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,103,608,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,104,617,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,105,626,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,106,635,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,107,644,0.99,1
19,40,2009-03-14,"8, Rue Hanovre",Paris,,France,75002,13.86,108,653,0.99,1
